Accuracy,Loss
0.5625,1.2280011177062988
0.4375,1.6557848453521729
0.6875,1.331456184387207
0.625,1.4141254425048828
0.375,1.926734447479248
0.5625,1.8552123308181763
0.5,1.6574138402938843
0.5,1.4704484939575195
0.3125,2.306706428527832
0.375,1.8213658332824707
0.375,1.762351632118225
0.375,1.7721405029296875
0.625,1.6283806562423706
0.375,1.884207844734192
0.4375,2.154160737991333
0.375,2.056846857070923
0.4375,1.7406706809997559
0.4375,1.7830424308776855
0.4375,1.4735041856765747
0.375,1.572749137878418
0.3125,1.7647780179977417
0.25,1.8540918827056885
0.25,2.584582805633545
0.3125,1.7264642715454102
0.3125,2.195690631866455
0.6875,1.2624320983886719
0.375,1.873297929763794
0.4375,1.9271514415740967
0.375,1.9022642374038696
0.5,1.7561551332473755
0.625,1.5354316234588623
0.6875,0.9599534869194031
0.3125,2.0356621742248535
0.4375,1.84730064868927
0.5625,1.672041654586792
0.5625,1.3892066478729248
0.5625,1.499658465385437
0.625,1.5319457054138184
0.5625,1.3572028875350952
0.25,1.9760628938674927
0.5625,1.3353887796401978
0.375,1.8295361995697021
0.5,1.5325026512145996
0.375,1.6908742189407349
0.4375,1.3630003929138184
0.5,1.5947717428207397
0.375,2.204829692840576
0.5625,1.1455352306365967
0.6875,1.305914044380188
0.5625,1.7908973693847656
0.625,1.5832198858261108
0.5,1.446781039237976
0.5625,1.4441288709640503
0.3125,2.4832756519317627
0.5,1.9912856817245483
0.5625,1.8051115274429321
0.5,1.4208378791809082
0.375,2.0535659790039062
0.5625,1.6844285726547241
0.5,1.3247849941253662
0.75,1.1546765565872192
0.75,0.9786450862884521
0.5625,1.6451326608657837
0.375,1.9789111614227295
0.75,1.0038783550262451
0.25,2.6337380409240723
0.6875,1.2096381187438965
0.625,1.3750935792922974
0.75,1.0760713815689087
0.625,1.508723497390747
0.5,1.6393537521362305
0.5625,1.7097162008285522
0.75,1.1364001035690308
0.5625,1.334181308746338
0.6875,1.2523311376571655
0.5,1.563307523727417
0.75,0.9744893312454224
0.6875,1.0395147800445557
0.375,1.6475589275360107
0.625,1.306121826171875
0.5,1.3376713991165161
0.625,1.042176604270935
0.625,1.4073724746704102
0.5,1.3921773433685303
0.625,1.340391993522644
0.5,1.646333932876587
0.75,1.1620827913284302
0.5,1.1999605894088745
0.625,1.4503933191299438
0.5,1.4229028224945068
0.4375,1.5731558799743652
0.4375,1.3584040403366089
0.625,1.5000728368759155
0.375,1.6619054079055786
0.5625,1.284552812576294
0.625,1.106398582458496
0.8125,1.1322567462921143
0.75,0.8913859128952026
0.5,1.2952625751495361
0.5625,1.2312867641448975
0.4375,1.4472213983535767
0.625,1.4500209093093872
0.625,1.2673921585083008
0.6875,0.9404224157333374
0.5625,1.0129516124725342
0.625,1.1238452196121216
0.625,1.468031406402588
0.6875,0.8544146418571472
0.5625,1.4350931644439697
0.375,1.528083086013794
0.375,1.5774562358856201
0.5,1.9001250267028809
0.4375,1.8473150730133057
0.75,0.9659096598625183
0.5,1.3332195281982422
0.75,1.2036314010620117
0.5,1.689509391784668
0.4375,1.605977177619934
0.5,1.3208287954330444
0.625,1.1882052421569824
0.5625,1.4368315935134888
0.6875,1.3617607355117798
0.5625,1.4129552841186523
0.625,0.9732762575149536
0.75,1.12944495677948
0.5,2.2061243057250977
0.75,1.0344140529632568
0.625,1.3133299350738525
0.625,1.8575176000595093
0.5,1.2427868843078613
0.3125,1.7661099433898926
0.6875,1.002426028251648
0.5,1.5698035955429077
0.5625,1.0570544004440308
0.75,1.0392109155654907
0.5625,1.7088043689727783
0.6875,1.0151972770690918
0.5625,1.2056660652160645
0.5,1.7998018264770508
0.5625,1.1995443105697632
0.875,0.6607937812805176
0.8125,0.9520061612129211
0.5,1.4998486042022705
0.625,1.0871418714523315
0.75,0.8654537200927734
0.75,0.8622083067893982
0.75,0.9339439272880554
0.625,1.2493133544921875
0.625,1.1699658632278442
0.625,1.4838097095489502
0.5,1.2141807079315186
0.5625,1.212174892425537
0.4375,1.4549884796142578
0.625,1.0938186645507812
0.8125,0.7445141077041626
0.75,0.8456089496612549
0.6875,0.8174270987510681
0.375,1.7152842283248901
0.625,0.8799805641174316
0.5,1.6078133583068848
0.6875,0.9327660799026489
0.4375,1.8908052444458008
0.5,1.3259934186935425
0.3125,2.267028570175171
0.5625,1.6413177251815796
0.5625,1.8985670804977417
0.5,1.3569706678390503
0.625,1.1694319248199463
0.5,1.2047640085220337
0.5,1.4765374660491943
0.6875,1.0516892671585083
0.6875,0.9619744420051575
0.6875,1.100345492362976
0.6875,0.8023204803466797
0.5625,0.9775137305259705
0.625,0.8577482104301453
0.6875,0.90718013048172
0.5625,1.4368995428085327
0.4375,1.5643036365509033
0.75,0.701961100101471
0.75,0.882819652557373
0.8125,0.8784036636352539
0.6875,1.046621561050415
0.5625,1.1421692371368408
0.625,1.4752039909362793
0.75,0.9163867831230164
0.75,1.2070180177688599
0.8125,0.8078253865242004
0.8125,0.7691556215286255
0.5625,1.1854972839355469
0.75,1.1574119329452515
0.6875,1.1377910375595093
0.4375,1.1015055179595947
0.8125,0.5814307332038879
0.6875,0.7459758520126343
0.75,0.9145824313163757
0.6875,1.1585255861282349
0.625,1.2401721477508545
0.6875,0.9236242175102234
0.75,0.7844500541687012
0.5625,1.3833268880844116
0.375,1.5368058681488037
0.5625,1.3131970167160034
0.4375,1.436177134513855
0.625,1.269690752029419
0.625,1.1458220481872559
0.8125,0.8668939471244812
0.75,0.7858036756515503
0.6875,0.9416037797927856
0.6875,0.8772367238998413
0.5625,1.2674823999404907
0.75,0.6216363906860352
0.875,0.40813350677490234
0.8125,0.49768298864364624
0.5,1.3582994937896729
0.8125,0.7629641890525818
0.5625,1.3885490894317627
0.4375,1.234957218170166
0.875,0.5208645462989807
0.8125,0.6853278875350952
0.875,0.6057836413383484
0.75,0.847121000289917
0.75,1.039371132850647
0.8125,0.7691048383712769
0.5,1.0389715433120728
0.625,1.112854242324829
0.75,0.8434054851531982
0.75,0.8955917954444885
0.625,0.935082733631134
0.9375,0.43798741698265076
0.6875,0.5751948952674866
0.625,1.0842747688293457
0.4375,1.3267731666564941
0.5625,1.4567714929580688
0.875,0.3368569016456604
0.6875,0.8337911367416382
0.875,0.3878927230834961
0.5,1.251918077468872
0.6875,0.950377881526947
0.75,0.9722778797149658
0.75,0.7638381123542786
0.6875,0.9825294613838196
0.75,0.6484124660491943
0.625,1.0928016901016235
0.5625,1.0843044519424438
0.625,1.05867338180542
0.5625,0.7794487476348877
0.75,0.9113731980323792
0.75,0.5106128454208374
0.5625,0.9495960474014282
0.6875,0.9897575378417969
0.9375,0.3077150583267212
0.625,0.9606732130050659
0.75,1.211728572845459
0.375,1.9814435243606567
0.8125,0.7209078073501587
0.625,0.9738175272941589
0.6875,0.8720265030860901
0.75,0.6560038924217224
0.875,0.7217016220092773
0.8125,0.4347304105758667
0.8125,0.7234413027763367
0.875,0.3417541980743408
0.875,0.598738431930542
0.5625,1.0643178224563599
0.625,0.8119357824325562
0.75,0.6856280565261841
0.9375,0.5154340863227844
0.75,0.7308863997459412
0.625,0.73293536901474
0.8125,0.5154619216918945
0.875,0.539816677570343
0.625,0.9721508622169495
0.8125,0.6632391810417175
0.9375,0.4041514992713928
0.5625,0.9415640234947205
0.6875,0.7462083697319031
0.75,1.0988731384277344
0.875,0.3978015184402466
0.625,1.1758328676223755
0.6875,0.8964187502861023
0.75,0.7173318862915039
0.6875,0.9694619178771973
0.8125,0.9287331104278564
0.6875,0.8329256176948547
0.8125,0.6506426334381104
0.75,0.7425661683082581
0.6875,0.8718578219413757
0.9375,0.4093616008758545
0.6875,1.1187268495559692
0.625,1.019626259803772
0.8125,0.5322557091712952
0.8125,0.8032119274139404
0.875,0.475699245929718
0.75,0.4578074812889099
0.75,1.1761839389801025
0.5,1.0597165822982788
0.75,0.9948938488960266
0.6875,0.7558964490890503
0.75,0.5618205070495605
0.6875,0.6453745365142822
0.5625,1.5120422840118408
0.8125,0.6530888676643372
0.8125,0.49946123361587524
0.9375,0.41768261790275574
0.6875,0.8931005597114563
0.625,0.7495297193527222
0.75,0.6087772250175476
0.75,0.883996307849884
0.625,0.802968442440033
0.75,0.7621005773544312
0.8125,0.9913843274116516
0.625,0.9086833596229553
0.8125,0.49166014790534973
0.8125,0.5503820180892944
0.875,0.5584990382194519
0.6875,0.7570515871047974
0.8125,1.0168167352676392
0.8125,0.9881646633148193
0.625,1.2602964639663696
0.8125,0.8669801950454712
0.75,0.8699815273284912
0.625,0.9690150022506714
0.5625,1.2408097982406616
0.6875,0.9811311364173889
0.75,0.5548712611198425
0.6875,0.8494101762771606
0.8125,0.48447185754776
0.75,0.5570663809776306
0.5625,1.3240272998809814
0.6875,0.9103224277496338
0.875,0.54048752784729
0.6875,0.9475057125091553
0.75,0.5974384546279907
0.6875,0.8997881412506104
0.75,0.7552329301834106
0.75,0.8667711615562439
0.6875,0.8201594948768616
0.625,1.2868406772613525
0.6875,0.9254869818687439
0.875,0.629149317741394
0.875,0.4746037721633911
0.75,0.5333439707756042
0.6875,0.8004157543182373
0.875,0.6374309062957764
1.0,0.23452982306480408
0.625,0.8310350179672241
0.875,0.5145947933197021
0.75,0.8630374670028687
0.875,0.5195199251174927
0.8125,0.714669942855835
0.75,0.5888919234275818
0.6875,1.2116429805755615
0.75,0.6869255304336548
0.8125,0.8276045918464661
0.9375,0.35487520694732666
0.875,0.4635436236858368
0.8125,0.45531123876571655
0.75,0.6258885860443115
0.6875,0.9924304485321045
0.75,0.504832923412323
1.0,0.19219592213630676
0.9375,0.3784377872943878
