Accuracy,Loss
0.0,6.903295040130615
0.0,6.709687232971191
0.0,7.155129909515381
0.0,6.868249893188477
0.0,6.765361309051514
0.0,7.598608016967773
0.0,7.914407730102539
0.0,7.792254447937012
0.0,7.301767826080322
0.0,7.711679458618164
0.0,7.834622383117676
0.0,7.561099529266357
0.0,8.04809856414795
0.0,7.823216438293457
0.0,8.795385360717773
0.0,8.51267147064209
0.0,6.890812397003174
0.0,7.992752552032471
0.0,7.966462135314941
0.0,7.468432426452637
0.0,8.218414306640625
0.0,7.621476173400879
0.0,7.852713584899902
0.0,8.036253929138184
0.0,7.520592212677002
0.0,7.154354095458984
0.0,7.968368053436279
0.0,6.820761203765869
0.0,7.189122200012207
0.0,6.703652858734131
0.0,7.373283863067627
0.0,7.710045337677002
0.0,8.024046897888184
0.0,7.438946723937988
0.0,7.621243476867676
0.0,7.833766937255859
0.0,7.358490467071533
0.0,6.9286723136901855
0.0,7.358292102813721
0.0,6.94501256942749
0.0,6.909111499786377
0.0,6.7430901527404785
0.0,7.381063938140869
0.0,6.681247234344482
0.0,6.765838146209717
0.0,7.0008158683776855
0.0,7.0751237869262695
0.0625,6.717488765716553
0.0,7.109555244445801
0.0,6.718528747558594
0.0,6.9994964599609375
0.0,7.155280113220215
0.0,7.533244609832764
0.0,6.9331374168396
0.0,6.925286293029785
0.0,7.203933238983154
0.0,7.09476375579834
0.0,7.163899898529053
0.0,6.750112533569336
0.0,7.187745094299316
0.0,6.704732418060303
0.0,7.222479820251465
0.0,6.732514381408691
0.0,6.6100239753723145
0.0,7.111719131469727
0.0,6.739908218383789
0.0,7.207834720611572
0.0,7.040185928344727
0.0,6.833512783050537
0.0,6.623182773590088
0.0,6.707363605499268
0.0,6.576605796813965
0.0,6.663529872894287
0.0,6.503585338592529
0.0,6.815826416015625
0.0,6.52338981628418
0.0,6.951455593109131
0.0,6.821738243103027
0.0,6.4131011962890625
0.0,6.89335823059082
0.0,7.430233001708984
0.0,6.730627059936523
0.0,6.625099182128906
0.0,6.600186347961426
0.0,6.547647953033447
0.0,6.618411540985107
0.0,6.6315531730651855
0.0,6.874623775482178
0.0,6.576420783996582
0.0,6.604734420776367
0.0,6.705138206481934
0.0625,6.827971935272217
0.0,7.132145404815674
0.0,6.490736961364746
0.0,6.850152492523193
0.0,6.750414848327637
0.0,7.098504543304443
0.0,6.451137065887451
0.0,6.827794551849365
0.0,6.929565906524658
0.0,6.705262660980225
0.0,6.540312767028809
0.0,6.5639967918396
0.0,6.997188568115234
0.0625,6.668531894683838
0.0,6.90138578414917
0.0,7.1983842849731445
0.0,6.973172664642334
0.0,6.515503406524658
0.0,6.5886054039001465
0.0,6.541995048522949
0.0,6.546323776245117
0.0,7.081747055053711
0.0,6.76212739944458
0.0,6.75593376159668
0.0,6.677111625671387
0.0,6.86629056930542
0.0,6.604836940765381
0.0,6.776927947998047
0.0,6.698633670806885
0.0,6.656836032867432
0.0,6.503179550170898
0.0,6.874715805053711
0.0,6.53485107421875
0.0,6.807924270629883
0.0,6.597620010375977
0.0,6.455999851226807
0.0,6.939137935638428
0.0,6.810882091522217
0.0,6.752885341644287
0.0,6.739483833312988
0.0,6.921487331390381
0.0,6.720280647277832
0.0,6.761415958404541
0.0,6.679215908050537
0.0,6.552662372589111
0.0,6.715447425842285
0.0,6.984894275665283
0.0,6.846681594848633
0.0,6.949652671813965
0.0,6.582206726074219
0.0,6.817771911621094
0.0,6.555510520935059
0.0,6.994489669799805
0.0,6.672572612762451
0.0,6.8820953369140625
0.0,6.850014686584473
0.0,6.754009246826172
0.0,6.520481586456299
0.0,6.700591087341309
0.0,6.491746425628662
0.0,6.772365570068359
0.0625,6.689079284667969
0.0,6.613288402557373
0.0,6.553501605987549
0.0,6.712977886199951
0.0,6.769610404968262
0.0,6.692084789276123
0.0,6.666897296905518
0.0,6.840067386627197
0.0,6.556493282318115
0.0,6.599356651306152
0.0,6.562708854675293
0.0,6.976760387420654
0.0,6.649950981140137
0.0,6.65745210647583
0.0,6.685266494750977
0.0,6.717409610748291
0.0,6.498683452606201
0.0,6.815974712371826
0.0,6.7357940673828125
0.0,6.726787567138672
0.0,6.829483985900879
0.0,6.735241889953613
0.0,6.851749420166016
0.0,6.719859600067139
0.0,6.664941310882568
0.0,6.659808158874512
0.0,6.576561450958252
0.0,6.569370269775391
0.0,6.572561740875244
0.0,6.521130084991455
0.0,6.755392551422119
0.0,6.727351188659668
0.0,6.836996078491211
0.0,6.5709662437438965
0.0,6.639347553253174
0.0,6.9422807693481445
0.0,6.541275978088379
0.0,6.479902267456055
0.0,6.5264458656311035
0.0,6.873335838317871
0.0,6.651365756988525
0.0,6.672873020172119
0.0,6.526273727416992
0.0,6.545400142669678
0.0,6.541841983795166
0.0,6.645754814147949
0.0,6.584826469421387
0.0,6.645166397094727
0.0,6.516643047332764
0.0,6.679525852203369
0.0,6.668873310089111
0.0,6.644346237182617
0.0,6.8534932136535645
0.0,6.694649696350098
0.0,6.632355213165283
0.0,6.656765460968018
